airline_sentiment,negativereason,airline,name
neutral,,United,jyotipethe
negative,Bad Flight,United,damahoff
negative,Customer Service Issue,United,aaron_lawlor
neutral,,United,MarkKostka1
negative,longlines,United,ZachAlpert
negative,Bad Flight,United,damahoff
neutral,,United,gwen1013
negative,Flight Attendant Complaints,United,damahoff
neutral,,United,idontbesoft
negative,Lost Luggage,United,maxcotter
negative,Customer Service Issue,United,lala0178
negative,Flight Booking Problems,United,majacgray
positive,,United,Pseudonymous
neutral,,United,Colettod
neutral,,United,c4pyro
negative,Customer Service Issue,United,tarlonious
negative,Customer Service Issue,United,Jo_Frost
negative,Lost Luggage,United,getpatrick
neutral,,United,Jo_Frost
neutral,,United,c4pyro
negative,Late Flight,United,tarlonious
negative,Lost Luggage,United,hannahcbeck
neutral,,United,BethRunsDisney
negative,Late Flight,United,Randy_King_SF
negative,Customer Service Issue,United,seansegal
neutral,,United,CoachMcRoberts
neutral,,United,CoachMcRoberts
negative,Late Flight,United,Randy_King_SF
negative,Late Flight,United,cbtadvisors
negative,Cancelled Flight,United,lowenberg
neutral,,United,gwen1013
negative,Cancelled Flight,United,leahgenise
negative,Customer Service Issue,United,gwen1013
neutral,,United,atom_burke
negative,Late Flight,United,Angela_Saurine
negative,Late Flight,United,CoachMcRoberts
negative,longlines,United,ScottyNeuman
negative,Lost Luggage,United,maxcotter
negative,Bad Flight,United,flyinhoc1
negative,Late Flight,United,ByronJ
negative,Bad Flight,United,DJTouf
negative,Late Flight,United,HPStorageGuy
negative,Can't Tell,United,JSJ35
positive,,United,minion444
neutral,,United,jbishop309
negative,Flight Booking Problems,United,thatchickmaggie
negative,Customer Service Issue,United,bartha75
negative,Bad Flight,United,ExplodingGreen
positive,,United,michaelmcd
neutral,,United,Abdelati786
negative,Flight Attendant Complaints,United,hadAbadWeek
negative,Flight Attendant Complaints,United,luko
negative,Can't Tell,United,JSJ35
negative,Cancelled Flight,United,lowenberg
negative,Can't Tell,United,annnnge
negative,longlines,United,gwen1013
neutral,,United,JSJ35
positive,,United,jimccooper
negative,Can't Tell,United,ZachAlpert
negative,Lost Luggage,United,hannahcbeck
negative,Can't Tell,United,MaxAbrahms
negative,Customer Service Issue,United,hannahcbeck
negative,Bad Flight,United,EYA10
positive,,United,SmallMol
negative,Customer Service Issue,United,gerryrard
negative,Customer Service Issue,United,MaxAbrahms
positive,,United,SmallMol
positive,,United,WendyJaccard
negative,Late Flight,United,kevinforgoogle
positive,,United,untalMontfort
neutral,,United,SallyM0nster
negative,Lost Luggage,United,keykeydoodle
negative,longlines,United,davidblevine
negative,Late Flight,United,kevinforgoogle
negative,Lost Luggage,United,keykeydoodle
negative,Can't Tell,United,ZachAlpert
neutral,,United,jamescalderwood
negative,Lost Luggage,United,Far3TheeWell
negative,Flight Booking Problems,United,carolinepqrst
neutral,,United,mrskmwatkins
neutral,,United,GreenkidspenWRA
negative,Can't Tell,United,luko
negative,Customer Service Issue,United,Keels2515
negative,Late Flight,United,loracle
negative,Flight Attendant Complaints,United,luko
neutral,,United,BekeAbe
negative,Cancelled Flight,United,lowenberg
positive,,United,eotoro
negative,Customer Service Issue,United,SmallMol
negative,Cancelled Flight,United,jimbradshaw4
negative,Customer Service Issue,United,hoozsah
negative,Cancelled Flight,United,jimbradshaw4
negative,longlines,United,joshanon
neutral,,United,bradleycfox
negative,Damaged Luggage,United,untalMontfort
negative,Can't Tell,United,pongchmp
negative,Cancelled Flight,United,scottychadwick
negative,Customer Service Issue,United,apopnj01
neutral,,United,travelmanphil
negative,Flight Booking Problems,United,apopnj01
neutral,,United,school_tales
negative,Customer Service Issue,United,school_tales
negative,Customer Service Issue,United,jcharvardapp
negative,Customer Service Issue,United,nicc1217
negative,Can't Tell,United,jcharvardapp
negative,Flight Attendant Complaints,United,jcharvardapp
negative,Bad Flight,United,jcharvardapp
negative,Flight Attendant Complaints,United,jcharvardapp
negative,Can't Tell,United,jcharvardapp
negative,Late Flight,United,BVSCAPE
negative,Customer Service Issue,United,jcharvardapp
positive,,United,jcharvardapp
negative,Customer Service Issue,United,ralonG2013
positive,,United,IanJolicoeur
negative,Customer Service Issue,United,ralonG2013
positive,,United,KristinMcNeil
negative,Late Flight,United,gorgeousjack
negative,Customer Service Issue,United,GregKuroda
negative,Bad Flight,United,ABBaitCo
negative,Can't Tell,United,9kenny5
negative,Bad Flight,United,yajur
negative,Customer Service Issue,United,kenzieellis
negative,Cancelled Flight,United,MeganStorey415
negative,Flight Attendant Complaints,United,TimBouhour
neutral,,United,PalenMcDermott
negative,Bad Flight,United,MeganStorey415
positive,,United,PalenMcDermott
negative,Customer Service Issue,United,school_tales
negative,Bad Flight,United,MeganStorey415
positive,,United,alicekeeler
positive,,United,nyc2theworld
positive,,United,SoSickOfBallin
negative,Customer Service Issue,United,Keels2515
negative,Cancelled Flight,United,Keels2515
negative,Can't Tell,United,ralonG2013
positive,,United,PalenMcDermott
negative,Customer Service Issue,United,dlm_3
negative,Cancelled Flight,United,NoahLocke
negative,Can't Tell,United,jorge_guajardo
positive,,United,heygorgevents
negative,Bad Flight,United,ABBaitCo
neutral,,United,EbolaOutbreakUS
positive,,United,smithnr
negative,Can't Tell,United,pongchmp
negative,Lost Luggage,United,thebadvillain
negative,Customer Service Issue,United,GregKuroda
negative,Bad Flight,United,MeganStorey415
neutral,,United,9kenny5
negative,Late Flight,United,SomuchWhit
negative,Flight Attendant Complaints,United,SomuchWhit
negative,Can't Tell,United,LisaKothari
negative,Flight Attendant Complaints,United,LisaKothari
negative,Can't Tell,United,justleon
negative,Cancelled Flight,United,cryfshr
neutral,,United,AndrewMcDublin
positive,,United,ThatsVy
negative,Can't Tell,United,LisaKothari
negative,Bad Flight,United,LisaKothari
positive,,United,PalenMcDermott
neutral,,United,nyc2theworld
negative,Bad Flight,United,JoeSchmuck
negative,Cancelled Flight,United,rpgibson8589
neutral,,United,AndrewMcDublin
negative,Customer Service Issue,United,TheBarnesology
negative,Can't Tell,United,AviNewYork
negative,Cancelled Flight,United,AngelikaGiatras
neutral,,United,AndrewMcDublin
negative,Customer Service Issue,United,screamingbrat
neutral,,United,setfive
positive,,United,elmoray
negative,Customer Service Issue,United,smithnr
neutral,,United,c4pyro
negative,Can't Tell,United,elmoray
negative,Damaged Luggage,United,HSeeley14
negative,Late Flight,United,c4pyro
negative,Bad Flight,United,polkj71
positive,,United,ChefjeffSD
negative,Customer Service Issue,United,hadAbadWeek
negative,Flight Attendant Complaints,United,hadAbadWeek
negative,Late Flight,United,WSlough
positive,,United,jowyang
neutral,,United,school_tales
negative,Cancelled Flight,United,pwaggs
negative,Bad Flight,United,jaycalavas
positive,,United,toddon14th
positive,,United,zachkpearson
neutral,,United,AndrewMcDublin
negative,Cancelled Flight,United,luko
negative,Customer Service Issue,United,TheBarnesology
negative,Late Flight,United,ThatsVy
negative,Can't Tell,United,SomuchWhit
negative,Can't Tell,United,BVSCAPE
negative,Cancelled Flight,United,brandonmajor
neutral,,United,TenyZhu
negative,Can't Tell,United,BVSCAPE
neutral,,United,itsmarisa
positive,,United,marynevis
negative,Customer Service Issue,United,jenkulp
negative,Can't Tell,United,marynevis
positive,,United,marynevis
negative,Customer Service Issue,United,GatorKim_ATL
negative,Can't Tell,United,GatorKim_ATL
neutral,,United,AngelikaGiatras
neutral,,United,aptnelson
neutral,,United,reccewife
negative,Flight Attendant Complaints,United,CheoGA
neutral,,United,janemswift
negative,longlines,United,janemswift
negative,Flight Attendant Complaints,United,marynevis
positive,,United,PierreSchmit
negative,longlines,United,RussPJohn
neutral,,United,jsmithers
negative,Flight Booking Problems,United,rena_lea
negative,Late Flight,United,AngelikaGiatras
negative,Can't Tell,United,JimRessler
negative,Can't Tell,United,dmb41shows
negative,Late Flight,United,RussPJohn
negative,Customer Service Issue,United,CheoGA
negative,Customer Service Issue,United,Andrewc11776
neutral,,United,Waveruprecht24
negative,Late Flight,United,AngelikaGiatras
negative,Customer Service Issue,United,joesanchezr
neutral,,United,jimccooper
negative,Cancelled Flight,United,DianaGo144
negative,Can't Tell,United,aushianya
negative,Cancelled Flight,United,2533107724Paul
negative,Bad Flight,United,KristenRuybal
negative,Lost Luggage,United,Carl_Cochran1
negative,Can't Tell,United,hadAbadWeek
negative,Customer Service Issue,United,hadAbadWeek
negative,Bad Flight,United,Waveruprecht24
negative,Can't Tell,United,JoeSchmuck
negative,Flight Booking Problems,United,darcqhorse
negative,Late Flight,United,SeanFedorko
positive,,United,SeanFedorko
negative,Lost Luggage,United,NewsLadiesNeed
negative,Flight Attendant Complaints,United,your_ride_dear
negative,Customer Service Issue,United,BVSCAPE
negative,Customer Service Issue,United,hadAbadWeek
negative,Customer Service Issue,United,hadAbadWeek
negative,Late Flight,United,drwebber
neutral,,United,getpatrick
negative,Cancelled Flight,United,halestorm62
negative,Late Flight,United,CBench79
negative,Cancelled Flight,United,HPStorageGuy
neutral,,United,Globe_Guide
positive,,United,DaRenton
negative,Can't Tell,United,recon_love
negative,Lost Luggage,United,NewsLadiesNeed
negative,Bad Flight,United,paul_e_jones
negative,Flight Attendant Complaints,United,gngstout
negative,Customer Service Issue,United,your_ride_dear
negative,Lost Luggage,United,gehandabare
negative,Flight Attendant Complaints,United,AnnieBodyCanada
negative,Bad Flight,United,iamlaurencard
negative,Customer Service Issue,United,NosihtamInc
negative,Customer Service Issue,United,CFCDarlene
negative,Customer Service Issue,United,TimothyJGill
neutral,,United,franknoc
neutral,,United,D4Duskes
negative,Can't Tell,United,hadAbadWeek
positive,,United,grahamh00
neutral,,United,29MC29
positive,,United,argrenier
neutral,,United,weymouth371
neutral,,United,SisterTristan
positive,,United,mrp
negative,Bad Flight,United,jrdnly
negative,Late Flight,United,michabt
negative,Customer Service Issue,United,not_asteroid
negative,Can't Tell,United,startupofme
negative,Flight Booking Problems,United,owenmcstravick
neutral,,United,LuxuryFred
negative,Bad Flight,United,startupofme
negative,Flight Booking Problems,United,GoGirlKnows
negative,Can't Tell,United,rpgibson8589
negative,Customer Service Issue,United,les_gingem
negative,longlines,United,smallestnode
negative,Flight Booking Problems,United,tannad2001
negative,Can't Tell,United,_LaVitaLoca
neutral,,United,Colocowgirl24
negative,Can't Tell,United,AviNewYork
neutral,,United,froschmarc
negative,Late Flight,United,baldordash
negative,Lost Luggage,United,kylemostyn
negative,Flight Booking Problems,United,Zortrium0
negative,Bad Flight,United,NadeemdeVree
positive,,United,zombiesausage
neutral,,United,hannahhappie
negative,Customer Service Issue,United,JimRessler
negative,Can't Tell,United,LewisSalgadoNYC
negative,Bad Flight,United,tony____k
negative,Flight Attendant Complaints,United,smonnat
negative,Late Flight,United,smallestnode
negative,Customer Service Issue,United,sjampol
negative,Customer Service Issue,United,kayyywe
neutral,,United,AndrewMcDublin
negative,Cancelled Flight,United,calebkelley
negative,Customer Service Issue,United,franknoc
neutral,,United,convair990BHX
negative,Can't Tell,United,_LaVitaLoca
positive,,United,tbjackson09
negative,Late Flight,United,hadAbadWeek
negative,Late Flight,United,smallestnode
negative,Late Flight,United,LandoForziati
negative,Customer Service Issue,United,AviNewYork
negative,Can't Tell,United,retailtherapy10
negative,Can't Tell,United,AviNewYork
negative,Customer Service Issue,United,Pacen8r
negative,Customer Service Issue,United,kylemostyn
negative,Customer Service Issue,United,DiqM
negative,Can't Tell,United,tomwylie19
negative,Customer Service Issue,United,AviNewYork
negative,Can't Tell,United,BDWiese
negative,Late Flight,United,JuanJoseRG02
positive,,United,garycirlin
negative,Late Flight,United,beckybye
negative,Flight Attendant Complaints,United,thefarb
neutral,,United,AviNewYork
negative,Customer Service Issue,United,justin_gbp
negative,Customer Service Issue,United,BenBell22
negative,Customer Service Issue,United,BenBell22
negative,Customer Service Issue,United,BenBell22
negative,Lost Luggage,United,lingley
negative,Cancelled Flight,United,TheBarnesology
positive,,United,ananth77
negative,Late Flight,United,recon_love
negative,Cancelled Flight,United,_Eric_Bishop
positive,,United,Mike_J_Morgan
negative,Lost Luggage,United,NicoleRoundy
neutral,,United,Addair
neutral,,United,Addair
negative,Late Flight,United,Sallee_D
positive,,United,ryaneaster
negative,longlines,United,CaseyBarnes1
positive,,United,ryaneaster
positive,,United,ryaneaster
neutral,,United,DaRenton
negative,Can't Tell,United,DaRenton
negative,Bad Flight,United,tcfitz3
positive,,United,filmbizpro
negative,Cancelled Flight,United,DNLee5
negative,Late Flight,United,jakehparrott
negative,Can't Tell,United,DaRenton
negative,Late Flight,United,DaRenton
negative,Flight Attendant Complaints,United,DaRenton
negative,Late Flight,United,DaRenton
neutral,,United,theycallme_HH
negative,Customer Service Issue,United,elliotdebruyn
positive,,United,DarianDavis
negative,Flight Attendant Complaints,United,_SamanthaAkira
negative,Bad Flight,United,StevieT_89
neutral,,United,2cJustice4all
negative,Customer Service Issue,United,dlm_3
positive,,United,NoviceFlyer
negative,Customer Service Issue,United,alexreznik
negative,Customer Service Issue,United,2cJustice4all
negative,Flight Attendant Complaints,United,dasbet
negative,Customer Service Issue,United,2cJustice4all
negative,Cancelled Flight,United,dasbet
positive,,United,cindykane
negative,Late Flight,United,AndreaDurkee
positive,,United,MERBARAT
negative,Customer Service Issue,United,dtcurtbrown
positive,,United,EdinReporter
positive,,United,neilawinston
negative,Lost Luggage,United,gehandabare
positive,,United,iandroid614
negative,Flight Booking Problems,United,MERBARAT
negative,Customer Service Issue,United,danahajek
neutral,,United,woawABQ
negative,Customer Service Issue,United,MERBARAT
neutral,,United,iamlaurencard
negative,Flight Booking Problems,United,CaptainDave13
negative,Lost Luggage,United,iandroid614
positive,,United,robbshurr
negative,Customer Service Issue,United,johnwoodRTR
negative,Lost Luggage,United,iandroid614
negative,Flight Booking Problems,United,johnwoodRTR
negative,Late Flight,United,kellyirish72
negative,Customer Service Issue,United,ldellabella
negative,Late Flight,United,franknoc
negative,Late Flight,United,ldellabella
negative,Flight Booking Problems,United,johnwoodRTR
negative,Customer Service Issue,United,johnwoodRTR
negative,Flight Booking Problems,United,MERBARAT
positive,,United,jayasherguy
neutral,,United,SCVPools
negative,Lost Luggage,United,gehandabare
negative,Flight Attendant Complaints,United,johnwoodRTR
negative,Lost Luggage,United,ldellabella
negative,Late Flight,United,MouadofMoney
negative,Lost Luggage,United,larissatandy
neutral,,United,summert10
negative,longlines,United,DerekTrovi
neutral,,United,PeterDawoud
positive,,United,kevinkugler
negative,Flight Attendant Complaints,United,MyFitness52
neutral,,United,Merrick757
negative,Late Flight,United,raindovemodel
positive,,United,raindovemodel
positive,,United,TreyHeckaman
negative,longlines,United,danahajek
negative,Flight Booking Problems,United,Csqd
neutral,,United,danahajek
negative,Flight Booking Problems,United,danahajek
positive,,United,GoALDE
negative,Customer Service Issue,United,elbrooklyntaco
negative,Late Flight,United,elbrooklyntaco
positive,,United,JesseLitsch
neutral,,United,callmekaitxo
negative,Can't Tell,United,your_ride_dear
neutral,,United,JesseLitsch
negative,Cancelled Flight,United,Snow4meErika
negative,Customer Service Issue,United,2533107724Paul
positive,,United,abhirajan
negative,Customer Service Issue,United,The_CW
positive,,United,girlsgetaways
negative,Can't Tell,United,AbePrescher
negative,Late Flight,United,4wordSOUL
negative,Customer Service Issue,United,JesseLitsch
negative,Can't Tell,United,leigh_emery
negative,Customer Service Issue,United,callmekaitxo
negative,Flight Booking Problems,United,Never_Regret_It
negative,Customer Service Issue,United,The_CW
negative,Late Flight,United,DustinDreams
negative,Lost Luggage,United,LEAisMYidol
negative,Flight Attendant Complaints,United,RONISREALTOR
neutral,,United,kevinkugler
positive,,United,lisahsamuel
neutral,,United,tbjackson09
positive,,United,DManonog
negative,Damaged Luggage,United,larissatandy
negative,Customer Service Issue,United,moonfacestudios
negative,Customer Service Issue,United,leigh_emery
negative,Flight Booking Problems,United,Snow4meErika
negative,Customer Service Issue,United,MrsHeyGil
negative,Customer Service Issue,United,Snow4meErika
neutral,,United,LyndsyRobinson
neutral,,United,Merrick757
neutral,,United,GDClearedToLand
negative,Customer Service Issue,United,DManonog
neutral,,United,lindork
negative,Can't Tell,United,xVanDanx
negative,Damaged Luggage,United,xVanDanx
negative,Bad Flight,United,Csqd
negative,Flight Attendant Complaints,United,Csqd
negative,Can't Tell,United,xVanDanx
negative,Cancelled Flight,United,Snow4meErika
positive,,United,DrPhilManning
positive,,United,AmaniHardrict
negative,Late Flight,United,paulgomez99
negative,Bad Flight,United,The_CW
neutral,,United,neilawinston
negative,Customer Service Issue,United,Bee_Branded
positive,,United,christinerimay
negative,Flight Attendant Complaints,United,AbePrescher
negative,Customer Service Issue,United,Jperez201
negative,Late Flight,United,SamuelRBowles
negative,Bad Flight,United,LinaSalazar
negative,Late Flight,United,bokhary
negative,Can't Tell,United,MyFitness52
positive,,United,ayangoswami
negative,Late Flight,United,2533107724Paul
negative,Customer Service Issue,United,kellanjacobs
negative,Customer Service Issue,United,eddietemistokle
neutral,,United,Thomas_12345
neutral,,United,MayhemRevived
positive,,United,kevinkugler
negative,Can't Tell,United,leigh_emery
positive,,United,ThomasRogersSG
negative,Customer Service Issue,United,TaraNorden
negative,Customer Service Issue,United,tjny753
negative,Can't Tell,United,Y_Marms5
negative,Flight Attendant Complaints,United,tompenning
negative,Lost Luggage,United,sjwwalsh
positive,,United,bakedstove
negative,Customer Service Issue,United,RONISREALTOR
negative,Customer Service Issue,United,leigh_emery
neutral,,United,aushianya
negative,Late Flight,United,LinaSalazar
negative,Can't Tell,United,1234567890_
neutral,,United,JPKirchmeier
negative,Flight Booking Problems,United,majacgray
positive,,United,paigeworthy
negative,Flight Attendant Complaints,United,elbrooklyntaco
negative,Late Flight,United,laurenmadams
negative,Customer Service Issue,United,MadisonWatts_
negative,Late Flight,United,AJMILBRANDT
negative,Customer Service Issue,United,Dra_Mck
negative,Customer Service Issue,United,Decode_NewYork
neutral,,United,Csqd
negative,Can't Tell,United,aushianya
negative,Late Flight,United,HobertRunter
positive,,United,mrp
negative,Customer Service Issue,United,HILL_PARTYofone
positive,,United,nfriesen1
positive,,United,nfriesen1
negative,Bad Flight,United,xVanDanx
negative,Late Flight,United,Charlie_Mich
positive,,United,1234567890_
negative,Late Flight,United,wisemana
negative,Late Flight,United,wisemana
negative,Bad Flight,United,hoozsah
negative,Customer Service Issue,United,KatieJelen
negative,Bad Flight,United,JoeSchmuck
positive,,United,ferriertv
negative,Customer Service Issue,United,StarksRavings
negative,Flight Booking Problems,United,iamtedking
neutral,,United,JamieReidy
negative,Customer Service Issue,United,LJ3000
negative,Can't Tell,United,JamieReidy
negative,Flight Attendant Complaints,United,robfarrisjr
negative,Late Flight,United,tjny753
negative,Late Flight,United,Charlie_Mich
negative,Can't Tell,United,thebadvillain
negative,Late Flight,United,JW_Blocker
negative,Lost Luggage,United,iamawarplane
negative,Late Flight,United,Charlie_Mich
neutral,,United,suijuris
negative,Late Flight,United,Charlie_Mich
negative,Late Flight,United,Schlubach
negative,Late Flight,United,Charlie_Mich
negative,Customer Service Issue,United,ellembee
neutral,,United,takwind_
negative,Bad Flight,United,StephanieWeyant
negative,longlines,United,archivelle
negative,Can't Tell,United,KatieJelen
positive,,United,livingextreme
positive,,United,Mimsw
negative,Can't Tell,United,KatieJelen
negative,Flight Attendant Complaints,United,EddieUmphrey
positive,,United,KennethRMurray
negative,Lost Luggage,United,chozee1
negative,Customer Service Issue,United,jbersack
negative,Bad Flight,United,BurkeCherrie
negative,Late Flight,United,Schlubach
neutral,,United,aushianya
negative,Customer Service Issue,United,iamawarplane
negative,Can't Tell,United,jayw329
negative,Can't Tell,United,jayw329
positive,,United,nfriesen1
negative,Can't Tell,United,archivelle
negative,Late Flight,United,archivelle
negative,Late Flight,United,4wordSOUL
negative,Bad Flight,United,jayw329
positive,,United,CEUGRATN
neutral,,United,JPKirchmeier
neutral,,United,JPKirchmeier
negative,Customer Service Issue,United,cruzontour
negative,Bad Flight,United,AtulKC
negative,Late Flight,United,DreLongo
positive,,United,ibrowning85
negative,Late Flight,United,fambai
negative,Can't Tell,United,GoBeavs808
positive,,United,BattierCCIpuppy
negative,Late Flight,United,RegYohanan
negative,Can't Tell,United,wisemana
negative,Late Flight,United,ChrisLaylin
neutral,,United,Heaton52
neutral,,United,jacobburkholder
negative,Customer Service Issue,United,caseymugar
negative,Late Flight,United,Csqd
neutral,,United,yuethomas
positive,,United,matsmall
negative,Can't Tell,United,AlsoRococo
negative,Late Flight,United,ibrowning85
neutral,,United,bethweesner
negative,Flight Booking Problems,United,ThePappaShacks
negative,Can't Tell,United,johnwoodRTR
negative,Lost Luggage,United,AlsoRococo
negative,Bad Flight,United,caseymugar
negative,Late Flight,United,ibrowning85
positive,,United,__ciberpepe
negative,Bad Flight,United,wisemana
negative,Late Flight,United,CpyburnDC
negative,Can't Tell,United,nate2482
negative,Lost Luggage,United,AlsoRococo
negative,Lost Luggage,United,AlsoRococo
neutral,,United,44Stocker
negative,Can't Tell,United,SchrammRyan
negative,Flight Booking Problems,United,jeeden_1
neutral,,United,jeeden_1
positive,,United,KennethRMurray
neutral,,United,jayfalck
negative,Customer Service Issue,United,jayfalck
negative,Lost Luggage,United,christinerimay
neutral,,United,yuethomas
neutral,,United,jeeden_1
negative,Can't Tell,United,jeeden_1
negative,Bad Flight,United,Paul_Faust
neutral,,United,jeeden_1
positive,,United,Coco_Flotte
negative,Cancelled Flight,United,nate2482
neutral,,United,KeldaPharris
negative,Customer Service Issue,United,bretlonder
neutral,,United,jeeden_1
neutral,,United,divvashi
negative,Customer Service Issue,United,bretlonder
negative,Damaged Luggage,United,AlexanderPancoe
negative,Customer Service Issue,United,ADolledUpBlog
negative,Customer Service Issue,United,andreamvdlg
negative,Can't Tell,United,andreamvdlg
positive,,United,d_goodspeed
negative,Customer Service Issue,United,KennethRMurray
neutral,,United,middlebrowmadam
neutral,,United,dlm_3
neutral,,United,Bigmenk65
negative,Late Flight,United,andreamvdlg
negative,Customer Service Issue,United,andreamvdlg
negative,Customer Service Issue,United,andreamvdlg
negative,Bad Flight,United,justindoll
negative,Can't Tell,United,ADolledUpBlog
neutral,,United,SocialMktgFella
negative,Late Flight,United,ADolledUpBlog
negative,Bad Flight,United,d_goodspeed
negative,Can't Tell,United,megane_ko
neutral,,United,bugstory
negative,Customer Service Issue,United,bugstory
negative,Late Flight,United,LRuns4Cupcakes
neutral,,United,Gouwerijn
neutral,,United,bugstory
negative,Late Flight,United,bugstory
negative,Cancelled Flight,United,bugstory
positive,,United,dekt
neutral,,United,youRsoMoney
negative,Late Flight,United,ssapol5722
neutral,,United,PaintboxGirl
positive,,United,urno12
negative,Customer Service Issue,United,TaraNorden
neutral,,United,bubnub
negative,Can't Tell,United,PaintboxGirl
positive,,United,bugstory
negative,Late Flight,United,benjaminslavin
negative,Can't Tell,United,dcharb10
positive,,United,BattierCCIpuppy
negative,Flight Booking Problems,United,abigailedge
neutral,,United,ScribblersNook
negative,Flight Attendant Complaints,United,GottaGoFlying
negative,Customer Service Issue,United,_jesseeka
negative,Flight Attendant Complaints,United,michaelotto71
positive,,United,vnpeace
negative,Cancelled Flight,United,Scottsimanek
positive,,United,AndyA3
negative,Flight Attendant Complaints,United,DT_Les
negative,Customer Service Issue,United,DavidM2357
negative,Can't Tell,United,StartupReport
negative,Flight Booking Problems,United,AMaxwellKerr
negative,Can't Tell,United,DubsterCali
negative,longlines,United,shanp611
positive,,United,YouSoFancy
negative,Bad Flight,United,Paul_Faust
neutral,,United,ItsmeAndrewC
neutral,,United,AndyA3
negative,Cancelled Flight,United,vnpeace
negative,Lost Luggage,United,christinerimay
negative,Bad Flight,United,MikeJJT
negative,Customer Service Issue,United,VCollins82
positive,,United,Easy_E_
neutral,,United,ScribblersNook
negative,Customer Service Issue,United,bugstory
negative,Customer Service Issue,United,ssapol5722
negative,Customer Service Issue,United,bugstory
negative,Flight Booking Problems,United,DuncanKneeDeep
negative,Customer Service Issue,United,bugstory
negative,Customer Service Issue,United,bugstory
negative,Late Flight,United,PFcurator
positive,,United,MarthaH65165635
negative,Cancelled Flight,United,PFcurator
negative,Bad Flight,United,PamelaBacorn
neutral,,United,rkjohnson2
neutral,,United,VidFall
negative,Late Flight,United,geoff_lane
neutral,,United,ant_kneee
positive,,United,rockstarbrands
positive,,United,Easy_E_
negative,Flight Booking Problems,United,DuncanKneeDeep
positive,,United,alinosa
negative,Flight Booking Problems,United,paul_chard63
neutral,,United,paul_chard63
positive,,United,datachick
negative,Lost Luggage,United,iamawarplane
neutral,,United,dlm_3
negative,Flight Booking Problems,United,mikebrandes
positive,,United,SoyCoder
neutral,,United,BananaPants06
negative,Lost Luggage,United,Eileen429
negative,Can't Tell,United,VitalMX
negative,Late Flight,United,geoff_lane
positive,,United,lcadler
neutral,,United,ssegraves
neutral,,United,dizbaa1
negative,Customer Service Issue,United,BananaPants06
positive,,United,mom23185
neutral,,United,ScribblersNook
negative,Late Flight,United,ssegraves
negative,Late Flight,United,ScribblersNook
positive,,United,Mammothchowder
positive,,United,traceyleffler
positive,,United,DanSeldow
positive,,United,Westonworld
negative,Customer Service Issue,United,paul_chard63
negative,Bad Flight,United,Mortars254
neutral,,United,LifeofPL
negative,Damaged Luggage,United,mrphoto
neutral,,United,pacers49
negative,Late Flight,United,theoli_co
negative,Can't Tell,United,abigailedge
neutral,,United,LRuns4Cupcakes
negative,Late Flight,United,SoyCoder
negative,Can't Tell,United,riad_otoum
negative,Customer Service Issue,United,ScribblersNook
negative,Customer Service Issue,United,riad_otoum
negative,Late Flight,United,hplager
negative,Customer Service Issue,United,44Stocker
negative,Customer Service Issue,United,MR_G_LISTER
negative,Flight Attendant Complaints,United,44Stocker
negative,Late Flight,United,BpfallonNYC
negative,Customer Service Issue,United,dlm_3
negative,Late Flight,United,LRuns4Cupcakes
neutral,,United,LifeofPL
negative,Flight Attendant Complaints,United,LRuns4Cupcakes
negative,Bad Flight,United,markbrownwriter
negative,Customer Service Issue,United,LRuns4Cupcakes
negative,Late Flight,United,alinosa
positive,,United,Sweet_Curly
negative,Flight Booking Problems,United,LifeofPL
negative,Cancelled Flight,United,Eileen429
negative,Flight Booking Problems,United,n_moffitt
negative,Late Flight,United,RickWasfy
negative,Customer Service Issue,United,mariel_soraya
positive,,United,TaylorWoot
neutral,,United,rockstarbrands
neutral,,United,jcpowell1285
positive,,United,alexster4324
negative,Can't Tell,United,AndyA3
positive,,United,redirsrm
negative,Lost Luggage,United,NorbertJaw
negative,Can't Tell,United,AndyA3
negative,Flight Booking Problems,United,karenharbert
neutral,,United,OliviaFett
negative,Can't Tell,United,riad_otoum
neutral,,United,riad_otoum
negative,Lost Luggage,United,Frannyonthego
negative,Customer Service Issue,United,riad_otoum
negative,Can't Tell,United,robthecameraman
positive,,United,Gouwerijn
negative,Customer Service Issue,United,LifeofPL
neutral,,United,_mhertz
negative,Can't Tell,United,_mhertz
negative,Customer Service Issue,United,_mhertz
negative,Late Flight,United,_mhertz
negative,Late Flight,United,JBrazie
negative,longlines,United,barry_croker
neutral,,United,karenharbert
negative,Lost Luggage,United,ParsnipButter
neutral,,United,lifeisabeech8
negative,Lost Luggage,United,TaylorWoot
positive,,United,rdahlstrom99
neutral,,United,kamaro67
negative,Late Flight,United,JedediahBila
negative,Late Flight,United,admiralkate
negative,Customer Service Issue,United,dlm_3
positive,,United,ticopilot
negative,Customer Service Issue,United,a_a_ron_cbus
negative,Can't Tell,United,ZachHonig
negative,Late Flight,United,MattFrederick00
negative,Bad Flight,United,globalnearshore
negative,Customer Service Issue,United,caitlingshaw
neutral,,United,jbone3353
negative,Can't Tell,United,riad_otoum
negative,Customer Service Issue,United,techartistsorg
negative,Can't Tell,United,katieclaytonn
positive,,United,MrsHeyGil
negative,Customer Service Issue,United,thejoemadison
negative,Late Flight,United,caitlingshaw
negative,Cancelled Flight,United,syncros
negative,Customer Service Issue,United,josephpwilson
